Test without schedule
Threads count: 1
N=1900. Milliseconds passed: 10
N=71710. Milliseconds passed: 452
N=141520. Milliseconds passed: 948
N=211330. Milliseconds passed: 1460
N=281140. Milliseconds passed: 2005
N=350950. Milliseconds passed: 2543
N=420760. Milliseconds passed: 3170
N=490570. Milliseconds passed: 3768
N=560380. Milliseconds passed: 4334
N=630190. Milliseconds passed: 4872
N=700000. Milliseconds passed: 5353
Threads count: 2
N=1900. Milliseconds passed: 7
N=71710. Milliseconds passed: 392
N=141520. Milliseconds passed: 790
N=211330. Milliseconds passed: 1254
N=281140. Milliseconds passed: 1738
N=350950. Milliseconds passed: 2271
N=420760. Milliseconds passed: 2781
N=490570. Milliseconds passed: 3350
N=560380. Milliseconds passed: 3881
N=630190. Milliseconds passed: 4286
N=700000. Milliseconds passed: 4769
Threads count: 4
N=1900. Milliseconds passed: 8
N=71710. Milliseconds passed: 406
N=141520. Milliseconds passed: 744
N=211330. Milliseconds passed: 1133
N=281140. Milliseconds passed: 1561
N=350950. Milliseconds passed: 2024
N=420760. Milliseconds passed: 2434
N=490570. Milliseconds passed: 2936
N=560380. Milliseconds passed: 3571
N=630190. Milliseconds passed: 4048
N=700000. Milliseconds passed: 4644
Threads count: 8
N=1900. Milliseconds passed: 123
N=71710. Milliseconds passed: 473
N=141520. Milliseconds passed: 874
N=211330. Milliseconds passed: 1333
N=281140. Milliseconds passed: 1775
N=350950. Milliseconds passed: 2207
N=420760. Milliseconds passed: 2684
N=490570. Milliseconds passed: 3136
N=560380. Milliseconds passed: 3612
N=630190. Milliseconds passed: 4106
N=700000. Milliseconds passed: 4579
Threads count: 16
N=1900. Milliseconds passed: 250
N=71710. Milliseconds passed: 575
N=141520. Milliseconds passed: 972
N=211330. Milliseconds passed: 1415
N=281140. Milliseconds passed: 1827
N=350950. Milliseconds passed: 2285
N=420760. Milliseconds passed: 2806
N=490570. Milliseconds passed: 3249
N=560380. Milliseconds passed: 3631
N=630190. Milliseconds passed: 4132
N=700000. Milliseconds passed: 4633
